Client,Station,Network,Channels,Location,Latitude,Longitude,Elevation
IRIS,PV6A,AV,"SHN, SHE, SHZ, BDF",--,55.507,-161.9714,352
IRIS,PN7A,AV,"BHN, BHE, BHZ, BDF",--,55.4329,-161.9973,838
IRIS,PS4A,AV,"BHN, BHE, BHZ, BDF",--,55.346,-161.8567,322
IRIS,PVV,AV,"SHN, SHE, SHZ, BDF",--,55.3732,-161.7919,173
IRIS,HAG,AV,"SHN, SHE, SHZ, BDF",--,55.317,-161.9045,516
IRIS,PS1A,AV,"BHN, BHE, BHZ, BDF",--,55.4201,-161.7437,283
